ODI Rank,Team 1,Team 2,InningWinner,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,Margin
ODI # 3671,Sri Lanka,Pakistan,Winner2ndInning,Colombo,"Jul 22, 2015",Pakistan,Sri Lanka,Home,Away,First,Second,7 wickets
ODI # 3672,Sri Lanka,Pakistan,Winner1stInning,Hambantota,"Jul 26, 2015",Sri Lanka,Sri Lanka,Home,Away,First,Second,165 runs
ODI # 3673,Zimbabwe,New Zealand,Winner2ndInning,Harare,"Aug 2, 2015",Zimbabwe,Zimbabwe,Home,Away,Second,First,7 wickets
ODI # 3674,Zimbabwe,New Zealand,Winner2ndInning,Harare,"Aug 4, 2015",New Zealand,Zimbabwe,Home,Away,First,Second,10 wickets
ODI # 3675,Zimbabwe,New Zealand,Winner1stInning,Harare,"Aug 7, 2015",New Zealand,Zimbabwe,Home,Away,Second,First,38 runs
ODI # 3676,South Africa,New Zealand,Winner1stInning,Centurion,"Aug 19, 2015",South Africa,South Africa,Home,Away,First,Second,20 runs
ODI # 3677,South Africa,New Zealand,Winner2ndInning,Potchefstroom,"Aug 23, 2015",New Zealand,South Africa,Home,Away,First,Second,8 wickets
ODI # 3678,South Africa,New Zealand,Winner1stInning,Durban,"Aug 26, 2015",South Africa,South Africa,Home,Away,First,Second,62 runs
ODI # 3679,Ireland,Australia,Winner1stInning,Belfast,"Aug 27, 2015",Australia,Ireland,Home,Away,Second,First,23 runs
ODI # 3680,England,Australia,Winner1stInning,Southampton,"Sep 3, 2015",Australia,England,Home,Away,Second,First,59 runs
ODI # 3681,England,Australia,Winner1stInning,Lord's,"Sep 5, 2015",Australia,England,Home,Away,Second,First,64 runs
ODI # 3682,England,Australia,Winner1stInning,Manchester,"Sep 8, 2015",England,England,Home,Away,First,Second,93 runs
ODI # 3683,England,Australia,Winner2ndInning,Leeds,"Sep 11, 2015",England,England,Home,Away,Second,First,3 wickets
ODI # 3684,England,Australia,Winner2ndInning,Manchester,"Sep 13, 2015",Australia,England,Home,Away,First,Second,8 wickets
ODI # 3685,Zimbabwe,Pakistan,Winner1stInning,Harare,"Oct 1, 2015",Pakistan,Zimbabwe,Home,Away,Second,First,131 runs
ODI # 3686,Zimbabwe,Pakistan,Winner1stInning,Harare,"Oct 3, 2015",Zimbabwe,Zimbabwe,Home,Away,First,Second,5 runs
ODI # 3687,Zimbabwe,Pakistan,Winner2ndInning,Harare,"Oct 5, 2015",Pakistan,Zimbabwe,Home,Away,First,Second,7 wickets
ODI # 3688,Zimbabwe,Ireland,Winner2ndInning,Harare,"Oct 9, 2015",Zimbabwe,Zimbabwe,Home,Away,Second,First,2 wickets
ODI # 3689,India,South Africa,Winner1stInning,Kanpur,"Oct 11, 2015",South Africa,India,Home,Away,Second,First,5 runs
ODI # 3690,Zimbabwe,Ireland,Winner2ndInning,Harare,"Oct 11, 2015",Zimbabwe,Zimbabwe,Home,Away,Second,First,5 wickets
ODI # 3691,Zimbabwe,Ireland,Winner2ndInning,Harare,"Oct 13, 2015",Ireland,Zimbabwe,Home,Away,First,Second,2 wickets
ODI # 3692,India,South Africa,Winner1stInning,Indore,"Oct 14, 2015",India,India,Home,Away,First,Second,22 runs
ODI # 3693,Zimbabwe,Afghanistan,Winner2ndInning,Bulawayo,"Oct 16, 2015",Zimbabwe,Zimbabwe,Home,Away,Second,First,8 wickets
ODI # 3694,Zimbabwe,Afghanistan,Winner1stInning,Bulawayo,"Oct 18, 2015",Afghanistan,Zimbabwe,Home,Away,Second,First,58 runs
ODI # 3695,India,South Africa,Winner1stInning,Rajkot,"Oct 18, 2015",South Africa,India,Home,Away,Second,First,18 runs
ODI # 3696,Zimbabwe,Afghanistan,Winner2ndInning,Bulawayo,"Oct 20, 2015",Zimbabwe,Zimbabwe,Home,Away,Second,First,6 wickets
ODI # 3697,Zimbabwe,Afghanistan,Winner2ndInning,Bulawayo,"Oct 22, 2015",Afghanistan,Zimbabwe,Home,Away,First,Second,3 wickets
ODI # 3698,India,South Africa,Winner1stInning,Chennai,"Oct 22, 2015",India,India,Home,Away,First,Second,35 runs
ODI # 3699,Zimbabwe,Afghanistan,Winner1stInning,Bulawayo,"Oct 24, 2015",Afghanistan,Zimbabwe,Home,Away,Second,First,73 runs
ODI # 3700,India,South Africa,Winner1stInning,Mumbai,"Oct 25, 2015",South Africa,India,Home,Away,Second,First,214 runs
ODI # 3701,Sri Lanka,West Indies,Winner2ndInning,Colombo,"Nov 1, 2015",Sri Lanka,Sri Lanka,Home,Away,Second,First,1 wicket
ODI # 3702,Sri Lanka,West Indies,Winner2ndInning,Colombo,"Nov 4, 2015",Sri Lanka,Sri Lanka,Home,Away,Second,First,8 wickets
ODI # 3703,Bangladesh,Zimbabwe,Winner1stInning,Dhaka,"Nov 7, 2015",Bangladesh,Bangladesh,Home,Away,First,Second,145 runs
ODI # 3704,Sri Lanka,West Indies,Winner1stInning,Pallekele,"Nov 7, 2015",Sri Lanka,,Neutral,Neutral,First,Second,19 runs
ODI # 3705,Bangladesh,Zimbabwe,Winner1stInning,Dhaka,"Nov 9, 2015",Bangladesh,Bangladesh,Home,Away,First,Second,58 runs
ODI # 3706,Bangladesh,Zimbabwe,Winner1stInning,Dhaka,"Nov 11, 2015",Bangladesh,Bangladesh,Home,Away,First,Second,61 runs
ODI # 3707,England,Pakistan,Winner2ndInning,Abu Dhabi,"Nov 11, 2015",Pakistan,U.A.E.,Neutral,Neutral,First,Second,6 wickets
ODI # 3708,England,Pakistan,Winner1stInning,Abu Dhabi,"Nov 13, 2015",England,U.A.E.,Neutral,Neutral,First,Second,95 runs
ODI # 3709,U.A.E.,Hong Kong,Winner1stInning,ICCA Dubai,"Nov 16, 2015",Hong Kong,U.A.E.,Home,Away,Second,First,89 runs
ODI # 3710,England,Pakistan,Winner2ndInning,Sharjah,"Nov 17, 2015",England,U.A.E.,Neutral,Neutral,Second,First,6 wickets
ODI # 3711,U.A.E.,Hong Kong,Winner1stInning,ICCA Dubai,"Nov 18, 2015",Hong Kong,U.A.E.,Home,Away,Second,First,136 runs
ODI # 3712,England,Pakistan,Winner1stInning,Dubai,"Nov 20, 2015",England,U.A.E.,Neutral,Neutral,First,Second,84 runs
ODI # 3713,Afghanistan,Zimbabwe,Winner1stInning,Sharjah,"Dec 25, 2015",Afghanistan,U.A.E.,Neutral,Neutral,First,Second,49 runs
ODI # 3714,New Zealand,Sri Lanka,Winner2ndInning,Christchurch,"Dec 26, 2015",New Zealand,New Zealand,Home,Away,Second,First,7 wickets
ODI # 3715,New Zealand,Sri Lanka,Winner2ndInning,Christchurch,"Dec 28, 2015",New Zealand,New Zealand,Home,Away,Second,First,10 wickets
ODI # 3716,Afghanistan,Zimbabwe,Winner2ndInning,Sharjah,"Dec 29, 2015",Afghanistan,U.A.E.,Neutral,Neutral,Second,First,4 wickets
ODI # 3717,New Zealand,Sri Lanka,Winner2ndInning,Nelson,"Dec 31, 2015",Sri Lanka,New Zealand,Home,Away,First,Second,8 wickets
ODI # 3719,Afghanistan,Zimbabwe,Winner1stInning,Sharjah,"Jan 2, 2016",Zimbabwe,U.A.E.,Neutral,Neutral,Second,First,117 runs
ODI # 3720,Afghanistan,Zimbabwe,Winner1stInning,Sharjah,"Jan 4, 2016",Zimbabwe,U.A.E.,Neutral,Neutral,Second,First,65 runs
ODI # 3721,New Zealand,Sri Lanka,Winner1stInning,Mount Maunganui,"Jan 5, 2016",New Zealand,New Zealand,Home,Away,First,Second,36 runs
ODI # 3722,Afghanistan,Zimbabwe,Winner2ndInning,Sharjah,"Jan 6, 2016",Afghanistan,U.A.E.,Neutral,Neutral,Second,First,2 wickets
ODI # 3723,Australia,India,Winner2ndInning,Perth,"Jan 12, 2016",Australia,Australia,Home,Away,Second,First,5 wickets
ODI # 3724,Australia,India,Winner2ndInning,Brisbane,"Jan 15, 2016",Australia,Australia,Home,Away,Second,First,7 wickets
ODI # 3725,Australia,India,Winner2ndInning,Melbourne,"Jan 17, 2016",Australia,Australia,Home,Away,Second,First,3 wickets
ODI # 3726,Australia,India,Winner1stInning,Canberra,"Jan 20, 2016",Australia,Australia,Home,Away,First,Second,25 runs
ODI # 3727,Australia,India,Winner2ndInning,Sydney,"Jan 23, 2016",India,Australia,Home,Away,First,Second,6 wickets
ODI # 3728,New Zealand,Pakistan,Winner1stInning,Wellington,"Jan 25, 2016",New Zealand,New Zealand,Home,Away,First,Second,70 runs
ODI # 3729,Hong Kong,Scotland,Winner1stInning,Mong Kok,"Jan 26, 2016",Hong Kong,Hong Kong,Home,Away,First,Second,109 runs
ODI # 3730,New Zealand,Pakistan,Winner2ndInning,Auckland,"Jan 31, 2016",New Zealand,New Zealand,Home,Away,Second,First,3 wickets
ODI # 3731,New Zealand,Australia,Winner1stInning,Auckland,"Feb 3, 2016",New Zealand,New Zealand,Home,Away,First,Second,159 runs
ODI # 3732,South Africa,England,Winner1stInning,Bloemfontein,"Feb 3, 2016",England,South Africa,Home,Away,Second,First,39 runs
ODI # 3733,New Zealand,Australia,Winner2ndInning,Wellington,"Feb 6, 2016",Australia,New Zealand,Home,Away,First,Second,4 wickets
ODI # 3734,South Africa,England,Winner2ndInning,Port Elizabeth,"Feb 6, 2016",England,South Africa,Home,Away,First,Second,5 wickets
ODI # 3735,New Zealand,Australia,Winner1stInning,Hamilton,"Feb 8, 2016",New Zealand,New Zealand,Home,Away,First,Second,55 runs
ODI # 3736,South Africa,England,Winner2ndInning,Centurion,"Feb 9, 2016",South Africa,South Africa,Home,Away,Second,First,7 wickets
ODI # 3737,South Africa,England,Winner2ndInning,Johannesburg,"Feb 12, 2016",South Africa,South Africa,Home,Away,Second,First,1 wicket
ODI # 3738,South Africa,England,Winner2ndInning,Cape Town,"Feb 14, 2016",South Africa,South Africa,Home,Away,Second,First,5 wickets
ODI # 3739,West Indies,South Africa,Winner2ndInning,Providence,"Jun 3, 2016",West Indies,West Indies,Home,Away,Second,First,4 wickets
ODI # 3740,West Indies,Australia,Winner2ndInning,Providence,"Jun 5, 2016",Australia,West Indies,Home,Away,First,Second,6 wickets
ODI # 3741,Australia,South Africa,Winner1stInning,Providence,"Jun 7, 2016",South Africa,West Indies,Neutral,Neutral,Second,First,47 runs
ODI # 3742,Zimbabwe,India,Winner2ndInning,Harare,"Jun 11, 2016",India,Zimbabwe,Home,Away,First,Second,9 wickets
ODI # 3743,Australia,South Africa,Winner1stInning,Basseterre,"Jun 11, 2016",Australia,West Indies,Neutral,Neutral,First,Second,36 runs
ODI # 3744,Zimbabwe,India,Winner2ndInning,Harare,"Jun 13, 2016",India,Zimbabwe,Home,Away,First,Second,8 wickets
ODI # 3745,West Indies,Australia,Winner2ndInning,Basseterre,"Jun 13, 2016",West Indies,West Indies,Home,Away,Second,First,4 wickets
ODI # 3746,Zimbabwe,India,Winner2ndInning,Harare,"Jun 15, 2016",India,Zimbabwe,Home,Away,First,Second,10 wickets
ODI # 3747,West Indies,South Africa,Winner1stInning,Basseterre,"Jun 15, 2016",South Africa,West Indies,Home,Away,Second,First,139 runs
ODI # 3748,Ireland,Sri Lanka,Winner1stInning,Dublin,"Jun 16, 2016",Sri Lanka,Ireland,Home,Away,Second,First,76 runs
ODI # 3749,Ireland,Sri Lanka,Winner1stInning,Dublin,"Jun 18, 2016",Sri Lanka,Ireland,Home,Away,Second,First,136 runs
ODI # 3752,West Indies,Australia,Winner2ndInning,Bridgetown,"Jun 21, 2016",Australia,West Indies,Home,Away,First,Second,6 wickets
ODI # 3753,England,Sri Lanka,Winner2ndInning,Birmingham,"Jun 24, 2016",England,England,Home,Away,Second,First,10 wickets
ODI # 3754,West Indies,South Africa,Winner1stInning,Bridgetown,"Jun 24, 2016",West Indies,West Indies,Home,Away,First,Second,100 runs
ODI # 3756,West Indies,Australia,Winner1stInning,Bridgetown,"Jun 26, 2016",Australia,West Indies,Home,Away,Second,First,58 runs
ODI # 3757,England,Sri Lanka,Winner2ndInning,The Oval,"Jun 29, 2016",England,England,Home,Away,Second,First,6 wickets
ODI # 3758,England,Sri Lanka,Winner1stInning,Cardiff,"Jul 2, 2016",England,England,Home,Away,First,Second,122 runs
ODI # 3760,Scotland,Afghanistan,Winner1stInning,Edinburgh,"Jul 6, 2016",Afghanistan,Scotland,Home,Away,Second,First,78 runs
ODI # 3761,Ireland,Afghanistan,Winner1stInning,Belfast,"Jul 12, 2016",Afghanistan,Ireland,Home,Away,Second,First,39 runs
ODI # 3762,Ireland,Afghanistan,Winner2ndInning,Belfast,"Jul 14, 2016",Ireland,Ireland,Home,Away,Second,First,6 wickets
ODI # 3763,Ireland,Afghanistan,Winner1stInning,Belfast,"Jul 17, 2016",Afghanistan,Ireland,Home,Away,Second,First,79 runs
ODI # 3764,Ireland,Afghanistan,Winner1stInning,Belfast,"Jul 19, 2016",Ireland,Ireland,Home,Away,First,Second,12 runs
ODI # 3765,Scotland,U.A.E.,Winner1stInning,Edinburgh,"Aug 14, 2016",Scotland,Scotland,Home,Away,First,Second,98 runs
ODI # 3766,Scotland,U.A.E.,Winner2ndInning,Edinburgh,"Aug 16, 2016",Scotland,Scotland,Home,Away,Second,First,7 wickets
ODI # 3767,Ireland,Pakistan,Winner1stInning,Dublin,"Aug 18, 2016",Pakistan,Ireland,Home,Away,Second,First,255 runs
ODI # 3768,Sri Lanka,Australia,Winner2ndInning,Colombo,"Aug 21, 2016",Australia,Sri Lanka,Home,Away,First,Second,3 wickets
ODI # 3769,Sri Lanka,Australia,Winner1stInning,Colombo,"Aug 24, 2016",Sri Lanka,Sri Lanka,Home,Away,First,Second,82 runs
ODI # 3770,England,Pakistan,Winner1stInning,Southampton,"Aug 24, 2016",England,England,Home,Away,First,Second,44 runs
ODI # 3771,England,Pakistan,Winner2ndInning,Lord's,"Aug 27, 2016",England,England,Home,Away,Second,First,4 wickets
ODI # 3772,Sri Lanka,Australia,Winner2ndInning,Dambulla,"Aug 28, 2016",Australia,Sri Lanka,Home,Away,First,Second,2 wickets
ODI # 3773,England,Pakistan,Winner1stInning,Nottingham,"Aug 30, 2016",England,England,Home,Away,First,Second,169 runs
ODI # 3774,Sri Lanka,Australia,Winner2ndInning,Dambulla,"Aug 31, 2016",Australia,Sri Lanka,Home,Away,First,Second,6 wickets
ODI # 3775,England,Pakistan,Winner2ndInning,Leeds,"Sep 1, 2016",England,England,Home,Away,Second,First,4 wickets
ODI # 3776,Sri Lanka,Australia,Winner2ndInning,Pallekele,"Sep 4, 2016",Australia,,Neutral,Neutral,First,Second,5 wickets
ODI # 3777,England,Pakistan,Winner2ndInning,Cardiff,"Sep 4, 2016",Pakistan,England,Home,Away,First,Second,4 wickets
ODI # 3779,Scotland,Hong Kong,Winner1stInning,Edinburgh,"Sep 10, 2016",Scotland,Scotland,Home,Away,First,Second,53 runs
ODI # 3780,South Africa,Ireland,Winner1stInning,Benoni,"Sep 25, 2016",South Africa,South Africa,Home,Away,First,Second,206 runs
ODI # 3781,Bangladesh,Afghanistan,Winner1stInning,Dhaka,"Sep 25, 2016",Bangladesh,Bangladesh,Home,Away,First,Second,7 runs
ODI # 3782,Australia,Ireland,Winner2ndInning,Benoni,"Sep 27, 2016",Australia,South Africa,Neutral,Neutral,Second,First,9 wickets
ODI # 3783,Bangladesh,Afghanistan,Winner2ndInning,Dhaka,"Sep 28, 2016",Afghanistan,Bangladesh,Home,Away,First,Second,2 wickets
ODI # 3784,Pakistan,West Indies,Winner1stInning,Sharjah,"Sep 30, 2016",Pakistan,U.A.E.,Neutral,Neutral,First,Second,111 runs
ODI # 3785,South Africa,Australia,Winner2ndInning,Centurion,"Sep 30, 2016",South Africa,South Africa,Home,Away,Second,First,6 wickets
ODI # 3786,Bangladesh,Afghanistan,Winner1stInning,Dhaka,"Oct 1, 2016",Bangladesh,Bangladesh,Home,Away,First,Second,141 runs
ODI # 3787,South Africa,Australia,Winner1stInning,Johannesburg,"Oct 2, 2016",South Africa,South Africa,Home,Away,First,Second,142 runs
ODI # 3788,Pakistan,West Indies,Winner1stInning,Sharjah,"Oct 2, 2016",Pakistan,U.A.E.,Neutral,Neutral,First,Second,59 runs
ODI # 3789,Pakistan,West Indies,Winner1stInning,Abu Dhabi,"Oct 5, 2016",Pakistan,U.A.E.,Neutral,Neutral,First,Second,136 runs
ODI # 3790,South Africa,Australia,Winner2ndInning,Durban,"Oct 5, 2016",South Africa,South Africa,Home,Away,Second,First,4 wickets
ODI # 3791,Bangladesh,England,Winner1stInning,Dhaka,"Oct 7, 2016",England,Bangladesh,Home,Away,Second,First,21 runs
ODI # 3792,South Africa,Australia,Winner2ndInning,Port Elizabeth,"Oct 9, 2016",South Africa,South Africa,Home,Away,Second,First,6 wickets
ODI # 3793,Bangladesh,England,Winner1stInning,Dhaka,"Oct 9, 2016",Bangladesh,Bangladesh,Home,Away,First,Second,34 runs
ODI # 3794,Bangladesh,England,Winner2ndInning,Chittagong,"Oct 12, 2016",England,Bangladesh,Home,Away,First,Second,4 wickets
ODI # 3795,South Africa,Australia,Winner1stInning,Cape Town,"Oct 12, 2016",South Africa,South Africa,Home,Away,First,Second,31 runs
ODI # 3796,India,New Zealand,Winner2ndInning,Dharamsala,"Oct 16, 2016",India,India,Home,Away,Second,First,6 wickets
ODI # 3797,India,New Zealand,Winner1stInning,Delhi,"Oct 20, 2016",New Zealand,India,Home,Away,Second,First,6 runs
ODI # 3798,India,New Zealand,Winner2ndInning,Mohali,"Oct 23, 2016",India,,Neutral,Neutral,Second,First,7 wickets
ODI # 3799,India,New Zealand,Winner1stInning,Ranchi,"Oct 26, 2016",New Zealand,India,Home,Away,Second,First,19 runs
ODI # 3800,India,New Zealand,Winner1stInning,Visakhapatnam,"Oct 29, 2016",India,India,Home,Away,First,Second,190 runs
ODI # 3801,Hong Kong,P.N.G.,Winner1stInning,Mong Kok,"Nov 4, 2016",Hong Kong,Hong Kong,Home,Away,First,Second,106 runs
ODI # 3802,Hong Kong,P.N.G.,Winner1stInning,Mong Kok,"Nov 6, 2016",P.N.G.,Hong Kong,Home,Away,Second,First,14 runs
ODI # 3803,Hong Kong,P.N.G.,Winner2ndInning,Mong Kok,"Nov 8, 2016",Hong Kong,Hong Kong,Home,Away,Second,First,7 wickets
ODI # 3804,Zimbabwe,Sri Lanka,Winner2ndInning,Harare,"Nov 14, 2016",Sri Lanka,Zimbabwe,Home,Away,First,Second,8 wickets
ODI # 3805,Sri Lanka,West Indies,Winner1stInning,Harare,"Nov 16, 2016",West Indies,Zimbabwe,Neutral,Neutral,Second,First,62 runs
ODI # 3808,Sri Lanka,West Indies,Winner1stInning,Bulawayo,"Nov 23, 2016",Sri Lanka,Zimbabwe,Neutral,Neutral,First,Second,1 run
ODI # 3809,Zimbabwe,West Indies,Winner1stInning,Bulawayo,"Nov 25, 2016",Zimbabwe,Zimbabwe,Home,Away,First,Second,5 runs
ODI # 3810,Zimbabwe,Sri Lanka,Winner2ndInning,Bulawayo,"Nov 27, 2016",Sri Lanka,Zimbabwe,Home,Away,First,Second,6 wickets
ODI # 3811,Australia,New Zealand,Winner1stInning,Sydney,"Dec 4, 2016",Australia,Australia,Home,Away,First,Second,68 runs
ODI # 3812,Australia,New Zealand,Winner1stInning,Canberra,"Dec 6, 2016",Australia,Australia,Home,Away,First,Second,116 runs
ODI # 3813,Australia,New Zealand,Winner1stInning,Melbourne,"Dec 9, 2016",Australia,Australia,Home,Away,First,Second,117 runs
ODI # 3814,New Zealand,Bangladesh,Winner1stInning,Christchurch,"Dec 26, 2016",New Zealand,New Zealand,Home,Away,First,Second,77 runs
ODI # 3815,New Zealand,Bangladesh,Winner1stInning,Nelson,"Dec 29, 2016",New Zealand,New Zealand,Home,Away,First,Second,67 runs
ODI # 3816,New Zealand,Bangladesh,Winner2ndInning,Nelson,"Dec 31, 2016",New Zealand,New Zealand,Home,Away,Second,First,8 wickets
ODI # 3817,Australia,Pakistan,Winner1stInning,Brisbane,"Jan 13, 2017",Australia,Australia,Home,Away,First,Second,92 runs
ODI # 3818,Australia,Pakistan,Winner2ndInning,Melbourne,"Jan 15, 2017",Pakistan,Australia,Home,Away,First,Second,6 wickets
ODI # 3819,India,England,Winner2ndInning,Pune,"Jan 15, 2017",India,India,Home,Away,Second,First,3 wickets
ODI # 3820,Australia,Pakistan,Winner2ndInning,Perth,"Jan 19, 2017",Australia,Australia,Home,Away,Second,First,7 wickets
ODI # 3821,India,England,Winner1stInning,Cuttack,"Jan 19, 2017",India,India,Home,Away,First,Second,15 runs
ODI # 3822,Australia,Pakistan,Winner1stInning,Sydney,"Jan 22, 2017",Australia,Australia,Home,Away,First,Second,86 runs
ODI # 3823,Hong Kong,Scotland,Winner2ndInning,Abu Dhabi,"Jan 22, 2017",Hong Kong,U.A.E.,Neutral,Neutral,Second,First,7 wickets
ODI # 3824,India,England,Winner1stInning,Kolkata,"Jan 22, 2017",England,India,Home,Away,Second,First,5 runs
ODI # 3825,U.A.E.,Scotland,Winner2ndInning,Dubai,"Jan 24, 2017",U.A.E.,U.A.E.,Home,Away,Second,First,4 wickets
ODI # 3826,Australia,Pakistan,Winner1stInning,Adelaide,"Jan 26, 2017",Australia,Australia,Home,Away,First,Second,57 runs
ODI # 3827,U.A.E.,Hong Kong,Winner2ndInning,Dubai,"Jan 26, 2017",U.A.E.,U.A.E.,Home,Away,Second,First,6 wickets
ODI # 3828,South Africa,Sri Lanka,Winner2ndInning,Port Elizabeth,"Jan 28, 2017",South Africa,South Africa,Home,Away,Second,First,8 wickets
ODI # 3829,New Zealand,Australia,Winner1stInning,Auckland,"Jan 30, 2017",New Zealand,New Zealand,Home,Away,First,Second,6 runs
ODI # 3830,South Africa,Sri Lanka,Winner1stInning,Durban,"Feb 1, 2017",South Africa,South Africa,Home,Away,First,Second,121 runs
ODI # 3831,South Africa,Sri Lanka,Winner2ndInning,Johannesburg,"Feb 4, 2017",South Africa,South Africa,Home,Away,Second,First,7 wickets
ODI # 3832,New Zealand,Australia,Winner1stInning,Hamilton,"Feb 5, 2017",New Zealand,New Zealand,Home,Away,First,Second,24 runs
ODI # 3833,South Africa,Sri Lanka,Winner1stInning,Cape Town,"Feb 7, 2017",South Africa,South Africa,Home,Away,First,Second,40 runs
ODI # 3834,South Africa,Sri Lanka,Winner1stInning,Centurion,"Feb 10, 2017",South Africa,South Africa,Home,Away,First,Second,88 runs
ODI # 3835,Zimbabwe,Afghanistan,Winner1stInning,Harare,"Feb 16, 2017",Afghanistan,Zimbabwe,Home,Away,Second,First,12 runs
ODI # 3836,New Zealand,South Africa,Winner2ndInning,Hamilton,"Feb 19, 2017",South Africa,New Zealand,Home,Away,First,Second,4 wickets
ODI # 3837,Zimbabwe,Afghanistan,Winner1stInning,Harare,"Feb 19, 2017",Afghanistan,Zimbabwe,Home,Away,Second,First,54 runs
ODI # 3838,Zimbabwe,Afghanistan,Winner1stInning,Harare,"Feb 21, 2017",Zimbabwe,Zimbabwe,Home,Away,First,Second,3 runs
ODI # 3839,New Zealand,South Africa,Winner1stInning,Christchurch,"Feb 22, 2017",New Zealand,New Zealand,Home,Away,First,Second,6 runs
ODI # 3840,Zimbabwe,Afghanistan,Winner2ndInning,Harare,"Feb 24, 2017",Zimbabwe,Zimbabwe,Home,Away,Second,First,7 wickets
ODI # 3841,New Zealand,South Africa,Winner1stInning,Wellington,"Feb 25, 2017",South Africa,New Zealand,Home,Away,Second,First,159 runs
ODI # 3842,Zimbabwe,Afghanistan,Winner1stInning,Harare,"Feb 26, 2017",Afghanistan,Zimbabwe,Home,Away,Second,First,106 runs
ODI # 3843,New Zealand,South Africa,Winner2ndInning,Hamilton,"Mar 1, 2017",New Zealand,New Zealand,Home,Away,Second,First,7 wickets
ODI # 3844,U.A.E.,Ireland,Winner1stInning,ICCA Dubai,"Mar 2, 2017",Ireland,U.A.E.,Home,Away,Second,First,85 runs
ODI # 3845,West Indies,England,Winner1stInning,North Sound,"Mar 3, 2017",England,West Indies,Home,Away,Second,First,45 runs
ODI # 3846,New Zealand,South Africa,Winner2ndInning,Auckland,"Mar 4, 2017",South Africa,New Zealand,Home,Away,First,Second,6 wickets
ODI # 3847,U.A.E.,Ireland,Winner2ndInning,ICCA Dubai,"Mar 4, 2017",Ireland,U.A.E.,Home,Away,First,Second,8 wickets
ODI # 3848,West Indies,England,Winner2ndInning,North Sound,"Mar 5, 2017",England,West Indies,Home,Away,First,Second,4 wickets
ODI # 3849,West Indies,England,Winner1stInning,Bridgetown,"Mar 9, 2017",England,West Indies,Home,Away,Second,First,186 runs
ODI # 3850,Afghanistan,Ireland,Winner1stInning,Greater Noida,"Mar 15, 2017",Afghanistan,India,Neutral,Neutral,First,Second,30 runs
ODI # 3851,Afghanistan,Ireland,Winner1stInning,Greater Noida,"Mar 17, 2017",Afghanistan,India,Neutral,Neutral,First,Second,34 runs
ODI # 3852,Afghanistan,Ireland,Winner2ndInning,Greater Noida,"Mar 19, 2017",Ireland,India,Neutral,Neutral,First,Second,6 wickets
ODI # 3853,Afghanistan,Ireland,Winner2ndInning,Greater Noida,"Mar 22, 2017",Ireland,India,Neutral,Neutral,First,Second,3 wickets
ODI # 3854,Afghanistan,Ireland,Winner2ndInning,Greater Noida,"Mar 24, 2017",Afghanistan,India,Neutral,Neutral,Second,First,7 wickets
ODI # 3855,Sri Lanka,Bangladesh,Winner1stInning,Dambulla,"Mar 25, 2017",Bangladesh,Sri Lanka,Home,Away,Second,First,90 runs
ODI # 3857,U.A.E.,P.N.G.,Winner1stInning,Abu Dhabi,"Mar 31, 2017",U.A.E.,U.A.E.,Home,Away,First,Second,82 runs
ODI # 3858,Sri Lanka,Bangladesh,Winner1stInning,Colombo,"Apr 1, 2017",Sri Lanka,Sri Lanka,Home,Away,First,Second,70 runs
ODI # 3859,U.A.E.,P.N.G.,Winner1stInning,Abu Dhabi,"Apr 2, 2017",P.N.G.,U.A.E.,Home,Away,Second,First,26 runs
ODI # 3860,U.A.E.,P.N.G.,Winner1stInning,Abu Dhabi,"Apr 4, 2017",U.A.E.,U.A.E.,Home,Away,First,Second,103 runs
ODI # 3861,West Indies,Pakistan,Winner2ndInning,Providence,"Apr 7, 2017",West Indies,West Indies,Home,Away,Second,First,4 wickets
ODI # 3862,West Indies,Pakistan,Winner1stInning,Providence,"Apr 9, 2017",Pakistan,West Indies,Home,Away,Second,First,74 runs
ODI # 3863,West Indies,Pakistan,Winner2ndInning,Providence,"Apr 11, 2017",Pakistan,West Indies,Home,Away,First,Second,6 wickets
ODI # 3864,England,Ireland,Winner2ndInning,Bristol,"May 5, 2017",England,England,Home,Away,Second,First,7 wickets
ODI # 3865,England,Ireland,Winner1stInning,Lord's,"May 7, 2017",England,England,Home,Away,First,Second,85 runs
ODI # 3867,Ireland,New Zealand,Winner1stInning,Dublin,"May 14, 2017",New Zealand,Ireland,Home,Away,Second,First,51 runs
ODI # 3868,Bangladesh,New Zealand,Winner2ndInning,Dublin,"May 17, 2017",New Zealand,Ireland,Neutral,Neutral,First,Second,4 wickets
ODI # 3869,Ireland,Bangladesh,Winner2ndInning,Dublin,"May 19, 2017",Bangladesh,Ireland,Home,Away,First,Second,8 wickets
ODI # 3870,Ireland,New Zealand,Winner1stInning,Dublin,"May 21, 2017",New Zealand,Ireland,Home,Away,Second,First,190 runs
ODI # 3871,Bangladesh,New Zealand,Winner2ndInning,Dublin,"May 24, 2017",Bangladesh,Ireland,Neutral,Neutral,Second,First,5 wickets
ODI # 3872,England,South Africa,Winner1stInning,Leeds,"May 24, 2017",England,England,Home,Away,First,Second,72 runs
ODI # 3873,England,South Africa,Winner1stInning,Southampton,"May 27, 2017",England,England,Home,Away,First,Second,2 runs
ODI # 3874,England,South Africa,Winner2ndInning,Lord's,"May 29, 2017",South Africa,England,Home,Away,First,Second,7 wickets
